 indexrelid | indrelid | indnatts | indisunique | indisprimary | indisexclusion | indimmediate | indisclustered | indisvalid | indcheckxmin | indisready | indislive | indisreplident |  indkey  | indcollation |       indclass       | indoption | indexprs | indpred 
      12546 |    12544 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      12552 |    12550 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      12558 |    12556 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      12564 |    12562 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      12570 |    12568 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16411 |    16409 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16412 |    16406 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16421 |    16419 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16422 |    16416 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16429 |    16427 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16430 |    16424 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16437 |    16435 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16443 |    16441 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16444 |    16438 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 100          | 3126                 | 0         |          | 
      16456 |    16454 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16466 |    16464 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16472 |    16470 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16473 |    16467 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16482 |    16480 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16489 |    16487 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16512 |    16510 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16522 |    16520 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16523 |    16516 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16531 |    16529 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16532 |    16525 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 100          | 3126                 | 0         |          | 
      16541 |    16539 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16548 |    16546 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16562 |    16560 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16563 |    16557 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16571 |    16569 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16577 |    16575 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16584 |    16582 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16585 |    16579 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16591 |    16406 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 2        | 100          | 3126                 | 0         |          | 
      16592 |    16460 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      16593 |    16385 |        1 | f           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 2        | 100          | 3126                 | 0         |          | 
      16594 |    16554 |        1 | f           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 100          | 10019                | 0         |          | 
(164 rows)

