 table_catalog |    table_schema    |              table_name               | table_type | self_referencing_column_name | reference_generation | user_defined_type_catalog | user_defined_type_schema | user_defined_type_name | is_insertable_into | is_typed | commit_action 
 booktown      | pg_catalog         | pg_largeobject                        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | information_schema_catalog_name       | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | applicable_roles                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | administrable_role_authorizations     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | attributes                            | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | character_sets                        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | check_constraint_routine_usage        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | check_constraints                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | collations                            | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | collation_character_set_applicability | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | column_domain_usage                   | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | column_privileges                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | column_udt_usage                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | columns                               | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | constraint_column_usage               | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | constraint_table_usage                | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | domain_constraints                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | domain_udt_usage                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | domains                               | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | enabled_roles                         | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | key_column_usage                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | parameters                            | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | referential_constraints               | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | role_column_grants                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | routine_privileges                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | role_routine_grants                   | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | routines                              | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | schemata                              | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | sequences                             | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | sql_features                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_implementation_info               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_languages                         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_packages                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_parts                             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_sizing                            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | sql_sizing_profiles                   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | information_schema | table_constraints                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | table_privileges                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | role_table_grants                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | tables                                | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | transforms                            | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | triggered_update_columns              | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | triggers                              | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | udt_privileges                        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | role_udt_grants                       | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | usage_privileges                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | role_usage_grants                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | user_defined_types                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | view_column_usage                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | view_routine_usage                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | view_table_usage                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | views                                 | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | data_type_privileges                  | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | element_types                         | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | _pg_foreign_table_columns             | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | column_options                        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | _pg_foreign_data_wrappers             | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_data_wrapper_options          | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_data_wrappers                 | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | _pg_foreign_servers                   | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_server_options                | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_servers                       | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | _pg_foreign_tables                    | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_table_options                 | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | foreign_tables                        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | _pg_user_mappings                     | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | user_mapping_options                  | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | information_schema | user_mappings                         | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
(205 rows)

